kibit balikat	shrugging of the shoulders
paano kasi..	the reason being..
bihis na bihis	all dressed up
sunod sa luho	gets whatever she wants
Anong hulà mo?	What’s your guess?
kalikasang tao	human nature
hindi madaanan	impassible (as in a road that's blocked, etc.)
lamang na	nearly
sa abot ng aking makakaya	to the best of my ability
pagbuhatan ng kamay	lay hands on
kung tawagin	(is) called
buti pa	better to.., better yet..
bulaklak nang dila	metaphor ("flower of the tongue")
Ating alamin sa vidyong ito.	Let's find out in this video.
Ating batiin ang ating mga bisita.	Let's greet our visitors.
kung saan	"where", including eg "kung saan ang katawan ay kulang sa melanin" "where the body lacks melanin"
sa mga panahong ito..	in these times..
Saklolo!	Help!
Pakiabot.	Please pass it on.
Patay!	I'm screwed!
Lagot!	<someone> is in trouble.
Seryoso?	Seriously?
Sána.	I really hope so.
Bastá!	Just because, don't ask why.
Pareho?	Are they the same?
kapalagáyan ng loob	calmness, serenity
Masarap lahat.	It all tastes great.
tagós sa puso	"penetrating the heart", heart wrenching
tulog mo 'yan!	in your dreams!
bakit ayaw mo nito?	why don't you like it/this?
bangág ka ba?	are you high?
pagdating sa	when it comes to / as far as / regarding
huwag kang magkakamali	don't screw up
hindi mo sinabi sa akin	you didn't tell me
hindi ako makagalAw	I can't move
maging magalang	be respectful
sigurado ka ba diyan?	are you sure about that?
balik tanaw	reminisce
kung pwede	if possible
kung tútuusín	if you think about it...
titignan natin	we'll see...
sali mo naman/na ako 	count me in / include me
kung tútuusín	in fact, in reality
sa balat ng lupa	on the face of the earth
Anó ba 'yan!	What the heck! (expressing irritation)
si Mary ang babae	the woman is Mary
ang teacher ang babae	the woman is the teacher
umuulan	It's raining
bumaha sa Maynila	it flooded in Manila
binaha ang Maynila	Manila flooded
ginabi ako	I stayed out late
mamayáng gabí	later tonight
kaninang umaga	this morning, earlier this morning
maghapon	all day, the whole day
inumaga siya sa
gusto kong kumain ng shrimp	I like to eat shrimp
gusto kong kinain ang shrimp	I like to eat the shrimp
iyon ang gusto ko <sa>	that's what I like about <sa>
Sobrang gusto ko <ang>	I love <ang>
kayá ngâ	that's exactly why
kasama <ang>	with (ie, together with) <ang>
nang hindî <ang> kasama	without (ie, not with) <ang>
<ang> ang kasama <ng>	<ang> is with/companion <ng>
walang tiyagA	impatient
hindî na	not any more; never mind
malamáng hindi	unlikely
ayaw <ng phrase> ng <X>	<ng> doesn't want/like <X>
tíla	apparently, seemingly, "it seems"
huli tayo	we're late
ipaalala mo sa akin	Remind me
Nasa sa iyo (nasa 'yo)		it's up to you
handa ka na bang pumunta?	are you ready to go?
hintayin mo ako	wait for me
masama ang pakiramdam	I'm not feeling well
ayan ka na naman	there you go again
dahan-dahan ka	calm/slow down
dahan-dahan magsalita nga!	speak slowly!
pagbigyán mo naman ako	please give me some slack
akin na <X>	give me the <X>
tama na	that's enough / no more
'di nga?	srsly?
sabihin mo sa akin	tell me
maging masaya	have fun
eh ikaw?	how about you?
huwag mo akong istorbohin!	don't bother me!
huwag mo akong sapukin	don't hit me
pwede ba!	puhlease!
noóng Hulyo	in/last July
noóng gera	during the war
noóng Enero 5, 1990	on January 5th, 1990
noóng mas batà siyá	when he was younger
noóng panahóng iyón	at that time
noón	back then, previously
noóng 1970s	the 1970s
noóng una	at first/initially
noóng batà pa siyá	when she was young
noóng apat na taón siyá	when she was four
noóng araw	in the past/old times, back in the day
noong ikaw ay dumating	when you arrived
sapúl nang	since
noong beynte siya	when he was twenty
noong isang araw	the other day
noong nakalipas na mga araw	a few days ago
sa pagitan ng	between
completo	all being present
may kulang	someone is missing(?)
akin ito	it's mine
Iniibig nila ang isa't isa.	They love each other.
Panahon na para magsayá.	Time now to have fun.
kanina pa	since earlier ("for a long while already")
hindi mo alam	"you never know"
kung tútuusín	in fact; in reality
Ano na ngayon ang gagawin natin?	Now what do we do?
Ako mismo ang pumunta doon.	I myself went there.
dahil kay Bobo	because of Bobo
Maari bang tawagan kita?	May I call you?
Maari ba kitang makausap?	May I talk to you?
Ipinagkanta namin siya.	We sang for her.
Sinundan namin kayo.	We followed you.
Natalo nilá kamí.	They beat us.
Walâ rito ang lalaki.	The man is not here.
Walang nakikipag-usap sa akin.	No one speaks with me.
Dapat makausap kita.	I must talk with you.
Puwede ba kitáng makausap?	Can I talk to you?
aalis na ako	I'm leaving now
Isa ka pang tarantado.	You’re another asshole.
Anó bang problema mo?	What's wrong with you?
noong bata pa ako	when I was young
Bumalik sa dati.	Returned to what it was before.
Di akin ito.	This is not mine.
Nakakain na siya ng itlog.	He has been eating egg.
bago pa ang digmaan..	even before the war..
bakasakalì	by chance; "perchance/perhaps"
magbakasakali	to take chances
ganitong oras	at this time (of day)
sinasabi ko sa iyó...	I'm telling you...
huwag kang gagaláw.	don't move.
kailangan na nating kumilos!	we need to act now!
Kakatapos ko lang.	I just finished.
Katatapos pa lang namin.	We’ve just finished.
Mauná ka (na)	 You go first, go ahead, lead the way
nalimutan kong isara	I forgot to close it
di-gaya sa ibang X	unlike other Xs
sa kalaunan	eventually, after a while
pambihira ka naman	you're really something else / one-of-a-kind
Makíkipag-usap ako kay Paul.	I'll talk to Paul.
mula sa kahirapan	out from poverty
paré-pareho	similarly, in the same way
sama ka.	come along.
sana nga	I hope so
umaasa ako.	I'm counting on it
umaasa ako sa iyo.	I am counting on you.
maasahán mo ako.	you can count on me.
makasabát lang	I'll just butt in..
hilig makihalubilo	sociable
saka isa pa..	and what's more..
